song_id,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,liked
0,Rain Down,Consistency,Trev Deshon,8/28/20,169456,19,0.691,0.00117,0.691,0.566,2.86E-05,0.165,-8.662,0.0545,136.007,4,1
1,Fight Back,The Willowbrook Demo,Kennyjonez,1/1/21,177662,20,0.756,0.385,0.756,0.509,0,0.113,-8.924,0.15,76.97,4,1
2,Stay Close,Stay Close,Koastle,3/25/21,162127,49,0.752,0.175,0.752,0.427,0.00278,0.306,-7.28,0.109,93.877,4,1
3,m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,5/14/21,218801,88,0.597,0.0622,0.597,0.587,0,0.214,-7.026,0.137,140.021,4,1
4,Life's A Mess (feat. Halsey),Legends Never Die,Juice WRLD,7/10/20,202193,76,0.63,0.337,0.63,0.446,0,0.166,-8.9,0.0351,143.078,4,1
5,Miss The Rage (feat. Playboi Carti),Miss The Rage (feat. Playboi Carti),Trippie Redd,5/7/21,236883,88,0.584,0.0144,0.584,0.859,0,0.847,-5.616,0.121,77.005,4,1
6,Evictions,Built For Whatever,Tee Grizzley,5/7/21,155675,55,0.827,0.0179,0.827,0.728,0,0.0695,-6.781,0.299,148.002,4,1
7,Grizzley Talk,Built For Whatever,Tee Grizzley,5/7/21,209916,64,0.824,0.208,0.824,0.821,0,0.448,-5.3,0.239,99.991,4,1
8,Everybody Loves You,Everybody Loves You,Felly,3/17/21,183915,55,0.697,0.00831,0.697,0.53,0,0.0984,-8.15,0.313,75.852,4,1
9,Night Job,Too High To Riot,Bas,1/16/16,194226,60,0.812,0.0611,0.812,0.623,0,0.111,-7.002,0.343,119.883,4,1
10,500 Benz,500 Benz,Joey Bada$$,7/6/17,201818,55,0.676,0.186,0.676,0.763,1.92E-06,0.107,-7.604,0.198,87.967,4,1
11,Tombstone,Tombstone,Rod Wave,3/24/21,160078,68,0.55,0.597,0.55,0.637,0,0.129,-5.212,0.163,84.448,4,1
12,don't wanna believe,Still Here,iann dior,4/16/21,112000,51,0.677,0.202,0.677,0.552,0,0.0955,-6.88,0.0482,90.008,4,1
13,shots in the dark,Still Here,iann dior,4/16/21,188583,59,0.58,0.0275,0.58,0.651,0,0.102,-5.537,0.0459,157.888,4,1
14,Big Shot (with Travis Scott),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2/9/18,221826,67,0.855,0.00759,0.855,0.478,0,0.101,-9.116,0.193,130.018,4,1
15,Knockout,Snow Cougar,Yung Gravy,5/4/18,195832,57,0.744,0.116,0.744,0.856,0,0.328,-4.115,0.084,145.966,4,1
16,Heat Waves (with iann dior),Heat Waves (with iann dior),Glass Animals,3/25/21,175301,69,0.655,0.476,0.655,0.716,0,0.479,-5.077,0.0897,80.813,4,1
17,Fuck The World (Summer in London),Fuck The World,Brent Faiyaz,2/7/20,236703,73,0.679,0.873,0.679,0.281,0.00335,0.215,-15.506,0.184,74.996,4,1
18,Real Deal,Consistency,Trev Deshon,8/28/20,205740,28,0.726,0.0127,0.726,0.502,0.0156,0.449,-11.372,0.268,140.01,4,1
19,Ariana,Ariana,Lakshane,1/29/21,188447,34,0.766,0.355,0.766,0.419,0,0.0989,-11.368,0.0475,128.033,4,1
20,Pearly Eyes,Pearly Eyes,Cody Ray,8/16/19,211301,47,0.729,0.362,0.729,0.503,0,0.139,-6.957,0.197,138.181,4,1
21,Dead Man Walking,Dead Man Walking,Brent Faiyaz,9/18/20,247079,80,0.505,0.279,0.505,0.267,0,0.096,-13.763,0.05,143.929,4,1
22,"Gravity (feat. Tyler, The Creator)","Gravity (feat. Tyler, The Creator)",Brent Faiyaz,1/29/21,214692,78,0.539,0.173,0.539,0.615,0.0056,0.144,-8.746,0.252,163.924,4,1
23,Here We Are,Here We Are,Forrest Isn't Dead,12/1/20,225710,27,0.684,0.00122,0.684,0.623,0.000695,0.183,-7.312,0.0259,110.992,4,1
24,Cold Summer,Summertime Shootout 3: Coldest Summer Ever,Fabolous,11/29/19,268720,57,0.537,0.576,0.537,0.736,0,0.0682,-8.276,0.299,87.75,4,1
25,Colorado,Colorado,Kota the Friend,10/24/18,206500,67,0.905,0.453,0.905,0.562,0.000285,0.13,-7.884,0.0662,139.997,4,1
26,Trippin',"Bedroom Bops, Vol. 1",Jack Miller,2/26/21,216551,18,0.804,0.032,0.804,0.422,6.91E-05,0.159,-11.939,0.148,141.974,4,1
27,Anything You Want,Anything You Want,Lil Sil,2/18/21,132173,44,0.798,0.142,0.798,0.515,0,0.106,-9.437,0.0573,137.973,4,1
28,Goin Baby,Baby On Baby,DaBaby,3/1/19,141826,70,0.755,0.128,0.755,0.772,0,0.157,-5.585,0.4,132.906,4,1
29,Ain't No Thang,Ain't No Thang,Malik,11/19/19,154468,33,0.756,0.0758,0.756,0.455,0,0.113,-8.611,0.047,87.011,4,1
30,Planet Earth,THIS IS WEIRD,Khary,6/19/20,202388,37,0.614,0.577,0.614,0.524,0,0.344,-11.668,0.363,133.984,4,1
31,Slang!,Slang!,Al-Doms,2/3/21,181863,32,0.645,0.316,0.645,0.853,0,0.11,-5.482,0.303,160.96,4,1
32,Day One,Day One,Nicholas,2/10/21,160000,50,0.762,0.323,0.762,0.748,1.88E-06,0.294,-4.95,0.0507,90.024,4,1
33,Roll the Dice,Roll the Dice,Kansh,2/12/21,161584,32,0.882,0.472,0.882,0.382,0,0.121,-14.097,0.158,100.972,4,1
34,Good At Goodbyes,Good At Goodbyes,LIL GAZ,12/18/20,128683,34,0.732,0.176,0.732,0.592,0,0.0761,-9.277,0.131,160.103,4,1
35,Flashing Lights,Graduation,Kanye West,9/11/07,237506,78,0.639,0.0381,0.639,0.628,0,0.386,-7.578,0.0399,90.482,4,1
36,Through The Wire,The College Dropout,Kanye West,2/10/04,221226,70,0.571,0.00865,0.571,0.739,5.21E-06,0.158,-6.11,0.247,83.089,4,1
37,Lemon Pepper Freestyle (feat. Rick Ross),Scary Hours 2,Drake,3/5/21,383036,81,0.77,0.103,0.77,0.637,0,0.171,-5.53,0.345,94.966,4,1
38,Let Go,CHASE,Aaron May,2/28/19,176531,60,0.87,0.046,0.87,0.498,0,0.146,-8.339,0.0623,110.019,4,1
39,Gifted (feat. Roddy Ricch),Gifted (feat. Roddy Ricch),Cordae,8/27/20,168477,69,0.653,0.175,0.653,0.603,0,0.18,-5.697,0.171,151.016,4,1
40,4 Thangs (feat. Big Sean & Hit-Boy),4 Thangs (feat. Big Sean & Hit-Boy),Freddie Gibbs,10/30/20,104911,69,0.813,0.0547,0.813,0.557,0,0.128,-6.655,0.133,83.012,4,1
41,We Don't Care,The College Dropout,Kanye West,2/10/04,239880,60,0.595,0.0142,0.595,0.754,0,0.247,-5.827,0.181,83.155,4,1
42,Empty,Death Race For Love,Juice WRLD,3/8/19,248431,79,0.745,0.0758,0.745,0.561,0,0.133,-4.869,0.0807,77.557,4,1
43,Purge,Milky Way,Bas,8/24/18,186613,54,0.908,0.632,0.908,0.535,0,0.214,-8.509,0.292,115.016,4,1
44,Cult4Ever,Ghetto Lenny's Love Songs,SAINt JHN,8/23/19,178090,51,0.776,0.106,0.776,0.718,3.13E-06,0.134,-5.796,0.0537,83.99,4,1
45,Everything I Am,Graduation,Kanye West,9/11/07,227893,66,0.631,0.463,0.631,0.623,1.70E-06,0.151,-6.969,0.265,80.23,4,1
46,Way Of Life,Way Of Life,Oren Major,9/25/20,201701,42,0.851,0.0825,0.851,0.436,0,0.113,-11.129,0.282,137.951,4,1
47,The Plan,The Plan,King Keon,12/11/20,157120,39,0.685,0.167,0.685,0.762,0,0.0912,-5.677,0.142,94.692,4,1
48,Do Not Disturb,More Life,Drake,3/18/17,283550,0,0.618,0.246,0.618,0.693,0,0.112,-5.943,0.45,170.982,4,1
49,Sorrows,A N N I V E R S A R Y (Deluxe),Bryson Tiller,2/26/21,193706,49,0.632,0.135,0.632,0.8,0,0.87,-6.87,0.209,109.083,4,1
50,Been Away,Fuck The World,Brent Faiyaz,2/7/20,223629,64,0.602,0.477,0.602,0.5,5.69E-05,0.295,-9.377,0.298,132.798,4,1
51,Heartbreak Anonymous,Heartbreak Anonymous,WIL$ON,1/29/21,104347,26,0.586,0.584,0.586,0.93,0,0.146,-4.235,0.214,115.182,4,1
52,2009,Swimming,Mac Miller,8/3/18,347986,69,0.533,0.77,0.533,0.496,0.000164,0.0969,-9.363,0.517,155.158,4,1
53,From Time,Nothing Was The Same (Deluxe),Drake,1/1/13,322160,0,0.738,0.626,0.738,0.491,0,0.126,-9.726,0.413,94.378,4,1
54,Daddy's Birthday,Beautiful Thugger Girls,Young Thug,6/16/17,208920,57,0.845,0.203,0.845,0.37,0,0.104,-7.333,0.519,152.949,4,1
55,FEEL SOMETHING (feat. Marshmello),F*CK LOVE (SAVAGE),The Kid LAROI,11/6/20,139040,71,0.523,0.059,0.523,0.609,0,0.14,-7.802,0.191,154.051,4,1
56,John Redcorn,Chasing Summer,SiR,8/30/19,187893,65,0.734,0.224,0.734,0.438,0.00292,0.215,-6.124,0.0865,143.961,4,1
57,D'Evils,November,SiR,1/19/18,171818,66,0.784,0.00558,0.784,0.586,0.000286,0.106,-3.417,0.187,132.169,4,1
58,"Somewhere, Out There","Somewhere, Out There",James Vickery,1/27/21,197645,47,0.7,0.391,0.7,0.395,3.10E-06,0.0721,-9.215,0.0472,78.979,4,1
59,Bruuuh (with Denzel Curry) - Remix,Bruuuh (with Denzel Curry) [Remix],JID,2/5/21,206446,69,0.813,0.0144,0.813,0.621,4.03E-05,0.0793,-9.273,0.209,112.101,4,1
60,Late Night Calls,Late Night Calls,Tee Grizzley,2/5/21,174544,55,0.784,0.121,0.784,0.533,0,0.107,-6.279,0.206,131.923,4,1
61,Juicy - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,3/5/07,301466,61,0.873,0.483,0.873,0.816,0,0.146,-4.645,0.256,96.067,4,1
62,Feel Me Flow,Poverty's Paradise (25th Anniversary - Remastered),Naughty By Nature,11/29/19,212760,57,0.817,0.0981,0.817,0.818,1.45E-06,0.0798,-4.911,0.133,90.193,4,1
63,Rather Unique,Doe Or Die,AZ,10/10/95,289600,50,0.794,0.131,0.794,0.668,0.00037,0.113,-8.363,0.323,86.929,4,1
64,Int'l Players Anthem (I Choose You) (feat. Outkast),UGK (Underground Kingz),UGK,8/7/07,259040,63,0.675,0.0655,0.675,0.68,0,0.354,-5.01,0.256,155.698,4,1
65,Money Trees,"good kid, m.A.A.d city",Kendrick Lamar,2012,386906,76,0.716,0.0703,0.716,0.531,0,0.224,-7.355,0.122,71.994,4,1
66,"Nuthin' But A ""G"" Thang",The Chronic,Dr. Dre,12/15/92,238466,76,0.801,0.00575,0.801,0.699,0,0.146,-8.18,0.279,94.605,4,1
67,Neighbors,4 Your Eyez Only,J. Cole,12/9/16,216520,74,0.898,0.319,0.898,0.283,0.000383,0.11,-12.335,0.356,138.97,4,1
68,Canal St. (feat. Bones),AT.LONG.LAST.A$AP,A$AP Rocky,5/26/15,227426,65,0.696,0.308,0.696,0.583,0,0.0964,-9.351,0.301,137.079,4,1
69,Stan,The Marshall Mathers LP,Eminem,5/23/00,404106,80,0.78,0.0371,0.78,0.768,2.34E-06,0.518,-4.325,0.238,80.063,4,1
70,Unconditional Love,The Best of 2Pac,2Pac,12/3/07,238640,29,0.754,0.407,0.754,0.631,9.12E-06,0.153,-9.216,0.308,82.647,4,1
71,Love Yourz,2014 Forest Hills Drive,J. Cole,12/9/14,211680,73,0.502,0.609,0.502,0.623,0,0.119,-8.812,0.44,75.578,1,1
72,Picture Me Grapin’,From Dark to Light,NLE Choppa,11/1/20,222487,68,0.787,0.21,0.787,0.681,0,0.162,-5.765,0.239,95.96,4,1
73,Picture Me Rollin',Greatest Hits,2Pac,1/1/98,314906,59,0.848,0.115,0.848,0.737,0,0.287,-4.587,0.14,95.908,4,1
74,Rose Gold (feat. King Von),Rose Gold (feat. King Von),PnB Rock,1/19/21,192000,64,0.574,0.184,0.574,0.623,0,0.103,-5.096,0.191,79.993,4,1
75,Devil In A New Dress,My Beautiful Dark Twisted Fantasy,Kanye West,11/22/10,351946,75,0.435,0.0175,0.435,0.76,0,0.158,-4.935,0.0721,80.082,4,1
76,Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,8/12/16,235477,73,0.717,0.0511,0.717,0.347,2.43E-06,0.087,-10.265,0.0636,84.987,4,1
77,Brady Bunch (feat. Loverboybass),BLACK,Carlos Bryant,12/4/20,190099,17,0.849,0.18,0.849,0.402,1.84E-05,0.111,-10.733,0.103,100.969,4,1
78,Small Worlds,Swimming,Mac Miller,8/3/18,271733,71,0.516,0.814,0.516,0.546,4.50E-06,0.0995,-9.105,0.249,78.267,4,1
79,Overrated,No Love Lost,Blxst,9/4/20,146938,68,0.842,0.625,0.842,0.545,0.00164,0.103,-5.993,0.172,97.897,4,1
80,Heard 'Em Say,Late Registration,Kanye West,8/30/05,203733,35,0.741,0.0557,0.741,0.703,0.0431,0.129,-8.321,0.17,95.058,4,1
81,Wish - Trippie Mix,LIFE'S A TRIP,Trippie Redd,8/10/18,176874,67,0.561,0.232,0.561,0.832,0,0.107,-7.661,0.0717,93.991,4,1
82,Snake Skin,!,Trippie Redd,8/9/19,186944,60,0.669,0.0574,0.669,0.557,0,0.0662,-8.835,0.0498,144.043,4,1
83,Love Scars,A Love Letter To You,Trippie Redd,5/14/17,143969,73,0.659,0.000404,0.659,0.614,0,0.123,-7.32,0.0541,119.405,4,1
84,i don't want another sorry,i don't want another sorry,Dax,12/30/20,193152,63,0.644,0.0498,0.644,0.614,0,0.117,-6.974,0.0488,85.013,4,1
85,Location (feat. Burna Boy),PSYCHODRAMA,Dave,3/8/19,241293,77,0.812,0.271,0.812,0.496,0,0.0955,-5.969,0.297,109.979,4,1
86,Lessons,Heavy Is The Head,Stormzy,12/13/19,187933,61,0.637,0.574,0.637,0.509,0,0.154,-7.985,0.38,94.202,4,1
87,1995,THE HUSTLE CONTINUES,Juicy J,11/27/20,169577,59,0.661,0.0452,0.661,0.799,0,0.317,-6.156,0.33,159.811,4,1
88,Handgun (feat. NoCap & Polo G),My Brother’s Keeper (Long Live G),DaBaby,11/20/20,154315,63,0.892,0.00399,0.892,0.458,0,0.209,-9.37,0.4,139.952,4,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,