song_id,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,liked
0,8/28/20,169456,19,0.691,0.00117,0.691,0.566,2.86E-05,0.165,-8.662,0.0545,136.007,4,1
1,1/1/21,177662,20,0.756,0.385,0.756,0.509,0,0.113,-8.924,0.15,76.97,4,1
2,3/25/21,162127,49,0.752,0.175,0.752,0.427,0.00278,0.306,-7.28,0.109,93.877,4,1
3,5/14/21,218801,88,0.597,0.0622,0.597,0.587,0,0.214,-7.026,0.137,140.021,4,1
4,7/10/20,202193,76,0.63,0.337,0.63,0.446,0,0.166,-8.9,0.0351,143.078,4,1
5,5/7/21,236883,88,0.584,0.0144,0.584,0.859,0,0.847,-5.616,0.121,77.005,4,1
6,5/7/21,155675,55,0.827,0.0179,0.827,0.728,0,0.0695,-6.781,0.299,148.002,4,1
7,5/7/21,209916,64,0.824,0.208,0.824,0.821,0,0.448,-5.3,0.239,99.991,4,1
8,3/17/21,183915,55,0.697,0.00831,0.697,0.53,0,0.0984,-8.15,0.313,75.852,4,1
9,1/16/16,194226,60,0.812,0.0611,0.812,0.623,0,0.111,-7.002,0.343,119.883,4,1
10,7/6/17,201818,55,0.676,0.186,0.676,0.763,1.92E-06,0.107,-7.604,0.198,87.967,4,1
11,3/24/21,160078,68,0.55,0.597,0.55,0.637,0,0.129,-5.212,0.163,84.448,4,1
12,4/16/21,112000,51,0.677,0.202,0.677,0.552,0,0.0955,-6.88,0.0482,90.008,4,1
13,4/16/21,188583,59,0.58,0.0275,0.58,0.651,0,0.102,-5.537,0.0459,157.888,4,1
14,2/9/18,221826,67,0.855,0.00759,0.855,0.478,0,0.101,-9.116,0.193,130.018,4,1
15,5/4/18,195832,57,0.744,0.116,0.744,0.856,0,0.328,-4.115,0.084,145.966,4,1
16,3/25/21,175301,69,0.655,0.476,0.655,0.716,0,0.479,-5.077,0.0897,80.813,4,1
17,2/7/20,236703,73,0.679,0.873,0.679,0.281,0.00335,0.215,-15.506,0.184,74.996,4,1
18,8/28/20,205740,28,0.726,0.0127,0.726,0.502,0.0156,0.449,-11.372,0.268,140.01,4,1
19,1/29/21,188447,34,0.766,0.355,0.766,0.419,0,0.0989,-11.368,0.0475,128.033,4,1
20,8/16/19,211301,47,0.729,0.362,0.729,0.503,0,0.139,-6.957,0.197,138.181,4,1
21,9/18/20,247079,80,0.505,0.279,0.505,0.267,0,0.096,-13.763,0.05,143.929,4,1
22,1/29/21,214692,78,0.539,0.173,0.539,0.615,0.0056,0.144,-8.746,0.252,163.924,4,1
23,12/1/20,225710,27,0.684,0.00122,0.684,0.623,0.000695,0.183,-7.312,0.0259,110.992,4,1
24,11/29/19,268720,57,0.537,0.576,0.537,0.736,0,0.0682,-8.276,0.299,87.75,4,1
25,10/24/18,206500,67,0.905,0.453,0.905,0.562,0.000285,0.13,-7.884,0.0662,139.997,4,1
26,2/26/21,216551,18,0.804,0.032,0.804,0.422,6.91E-05,0.159,-11.939,0.148,141.974,4,1
27,2/18/21,132173,44,0.798,0.142,0.798,0.515,0,0.106,-9.437,0.0573,137.973,4,1
28,3/1/19,141826,70,0.755,0.128,0.755,0.772,0,0.157,-5.585,0.4,132.906,4,1
29,11/19/19,154468,33,0.756,0.0758,0.756,0.455,0,0.113,-8.611,0.047,87.011,4,1
30,6/19/20,202388,37,0.614,0.577,0.614,0.524,0,0.344,-11.668,0.363,133.984,4,1
31,2/3/21,181863,32,0.645,0.316,0.645,0.853,0,0.11,-5.482,0.303,160.96,4,1
32,2/10/21,160000,50,0.762,0.323,0.762,0.748,1.88E-06,0.294,-4.95,0.0507,90.024,4,1
33,2/12/21,161584,32,0.882,0.472,0.882,0.382,0,0.121,-14.097,0.158,100.972,4,1
34,12/18/20,128683,34,0.732,0.176,0.732,0.592,0,0.0761,-9.277,0.131,160.103,4,1
35,9/11/07,237506,78,0.639,0.0381,0.639,0.628,0,0.386,-7.578,0.0399,90.482,4,1
36,2/10/04,221226,70,0.571,0.00865,0.571,0.739,5.21E-06,0.158,-6.11,0.247,83.089,4,1
37,3/5/21,383036,81,0.77,0.103,0.77,0.637,0,0.171,-5.53,0.345,94.966,4,1
38,2/28/19,176531,60,0.87,0.046,0.87,0.498,0,0.146,-8.339,0.0623,110.019,4,1
39,8/27/20,168477,69,0.653,0.175,0.653,0.603,0,0.18,-5.697,0.171,151.016,4,1
40,10/30/20,104911,69,0.813,0.0547,0.813,0.557,0,0.128,-6.655,0.133,83.012,4,1
41,2/10/04,239880,60,0.595,0.0142,0.595,0.754,0,0.247,-5.827,0.181,83.155,4,1
42,3/8/19,248431,79,0.745,0.0758,0.745,0.561,0,0.133,-4.869,0.0807,77.557,4,1
43,8/24/18,186613,54,0.908,0.632,0.908,0.535,0,0.214,-8.509,0.292,115.016,4,1
44,8/23/19,178090,51,0.776,0.106,0.776,0.718,3.13E-06,0.134,-5.796,0.0537,83.99,4,1
45,9/11/07,227893,66,0.631,0.463,0.631,0.623,1.70E-06,0.151,-6.969,0.265,80.23,4,1
46,9/25/20,201701,42,0.851,0.0825,0.851,0.436,0,0.113,-11.129,0.282,137.951,4,1
47,12/11/20,157120,39,0.685,0.167,0.685,0.762,0,0.0912,-5.677,0.142,94.692,4,1
48,3/18/17,283550,0,0.618,0.246,0.618,0.693,0,0.112,-5.943,0.45,170.982,4,1
49,2/26/21,193706,49,0.632,0.135,0.632,0.8,0,0.87,-6.87,0.209,109.083,4,1
50,2/7/20,223629,64,0.602,0.477,0.602,0.5,5.69E-05,0.295,-9.377,0.298,132.798,4,1
51,1/29/21,104347,26,0.586,0.584,0.586,0.93,0,0.146,-4.235,0.214,115.182,4,1
52,8/3/18,347986,69,0.533,0.77,0.533,0.496,0.000164,0.0969,-9.363,0.517,155.158,4,1
53,1/1/13,322160,0,0.738,0.626,0.738,0.491,0,0.126,-9.726,0.413,94.378,4,1
54,6/16/17,208920,57,0.845,0.203,0.845,0.37,0,0.104,-7.333,0.519,152.949,4,1
55,11/6/20,139040,71,0.523,0.059,0.523,0.609,0,0.14,-7.802,0.191,154.051,4,1
56,8/30/19,187893,65,0.734,0.224,0.734,0.438,0.00292,0.215,-6.124,0.0865,143.961,4,1
57,1/19/18,171818,66,0.784,0.00558,0.784,0.586,0.000286,0.106,-3.417,0.187,132.169,4,1
58,1/27/21,197645,47,0.7,0.391,0.7,0.395,3.10E-06,0.0721,-9.215,0.0472,78.979,4,1
59,2/5/21,206446,69,0.813,0.0144,0.813,0.621,4.03E-05,0.0793,-9.273,0.209,112.101,4,1
60,2/5/21,174544,55,0.784,0.121,0.784,0.533,0,0.107,-6.279,0.206,131.923,4,1
61,3/5/07,301466,61,0.873,0.483,0.873,0.816,0,0.146,-4.645,0.256,96.067,4,1
62,11/29/19,212760,57,0.817,0.0981,0.817,0.818,1.45E-06,0.0798,-4.911,0.133,90.193,4,1
63,10/10/95,289600,50,0.794,0.131,0.794,0.668,0.00037,0.113,-8.363,0.323,86.929,4,1
64,8/7/07,259040,63,0.675,0.0655,0.675,0.68,0,0.354,-5.01,0.256,155.698,4,1
65,2012,386906,76,0.716,0.0703,0.716,0.531,0,0.224,-7.355,0.122,71.994,4,1
66,12/15/92,238466,76,0.801,0.00575,0.801,0.699,0,0.146,-8.18,0.279,94.605,4,1
67,12/9/16,216520,74,0.898,0.319,0.898,0.283,0.000383,0.11,-12.335,0.356,138.97,4,1
68,5/26/15,227426,65,0.696,0.308,0.696,0.583,0,0.0964,-9.351,0.301,137.079,4,1
69,5/23/00,404106,80,0.78,0.0371,0.78,0.768,2.34E-06,0.518,-4.325,0.238,80.063,4,1
70,12/3/07,238640,29,0.754,0.407,0.754,0.631,9.12E-06,0.153,-9.216,0.308,82.647,4,1
71,12/9/14,211680,73,0.502,0.609,0.502,0.623,0,0.119,-8.812,0.44,75.578,1,1
72,11/1/20,222487,68,0.787,0.21,0.787,0.681,0,0.162,-5.765,0.239,95.96,4,1
73,1/1/98,314906,59,0.848,0.115,0.848,0.737,0,0.287,-4.587,0.14,95.908,4,1
74,1/19/21,192000,64,0.574,0.184,0.574,0.623,0,0.103,-5.096,0.191,79.993,4,1
75,11/22/10,351946,75,0.435,0.0175,0.435,0.76,0,0.158,-4.935,0.0721,80.082,4,1
76,8/12/16,235477,73,0.717,0.0511,0.717,0.347,2.43E-06,0.087,-10.265,0.0636,84.987,4,1
77,12/4/20,190099,17,0.849,0.18,0.849,0.402,1.84E-05,0.111,-10.733,0.103,100.969,4,1
78,8/3/18,271733,71,0.516,0.814,0.516,0.546,4.50E-06,0.0995,-9.105,0.249,78.267,4,1
79,9/4/20,146938,68,0.842,0.625,0.842,0.545,0.00164,0.103,-5.993,0.172,97.897,4,1
80,8/30/05,203733,35,0.741,0.0557,0.741,0.703,0.0431,0.129,-8.321,0.17,95.058,4,1
81,8/10/18,176874,67,0.561,0.232,0.561,0.832,0,0.107,-7.661,0.0717,93.991,4,1
82,8/9/19,186944,60,0.669,0.0574,0.669,0.557,0,0.0662,-8.835,0.0498,144.043,4,1
83,5/14/17,143969,73,0.659,0.000404,0.659,0.614,0,0.123,-7.32,0.0541,119.405,4,1
84,12/30/20,193152,63,0.644,0.0498,0.644,0.614,0,0.117,-6.974,0.0488,85.013,4,1
85,3/8/19,241293,77,0.812,0.271,0.812,0.496,0,0.0955,-5.969,0.297,109.979,4,1
86,12/13/19,187933,61,0.637,0.574,0.637,0.509,0,0.154,-7.985,0.38,94.202,4,1
87,11/27/20,169577,59,0.661,0.0452,0.661,0.799,0,0.317,-6.156,0.33,159.811,4,1
88,11/20/20,154315,63,0.892,0.00399,0.892,0.458,0,0.209,-9.37,0.4,139.952,4,1
89,3/5/21,178153,86,0.781,0.0136,0.781,0.594,0,0.162,-6.959,0.0485,129.895,4,0
90,2/28/20,232064,71,0.883,0.0317,0.883,0.808,0,0.207,-3.158,0.183,119.012,4,0
91,7/21/20,210360,50,0.735,0.0621,0.735,0.652,0,0.108,-7.605,0.208,139.978,4,0
92,1/15/21,157355,80,0.697,0.00215,0.697,0.674,0,0.138,-6.326,0.0533,81.535,4,0
93,4/30/21,225020,80,0.89,0.00306,0.89,0.701,3.06E-06,0.0895,-5.712,0.342,80.462,4,0
94,2/12/21,189808,62,0.81,0.155,0.81,0.611,0,0.0739,-7.978,0.221,119.956,4,0
95,8/14/20,280877,57,0.739,0.428,0.739,0.46,0.00107,0.125,-8.305,0.211,97.962,4,0
96,12/11/20,216560,68,0.39,0.162,0.39,0.724,0,0.393,-7.607,0.0889,165.945,4,0
97,7/6/20,195327,49,0.501,0.0887,0.501,0.666,0,0.233,-4.118,0.233,83.449,4,0
98,4/16/21,242600,77,0.851,0.00949,0.851,0.703,2.57E-05,0.0895,-7.351,0.303,74.017,4,0
99,9/4/20,199758,81,0.724,0.0978,0.724,0.675,9.41E-06,0.351,-5.267,0.0867,160.048,4,0
100,9/25/20,180906,54,0.555,0.503,0.555,0.583,0,0.269,-5.13,0.41,107.17,5,0
101,5/8/20,143824,62,0.838,0.231,0.838,0.609,0,0.0983,-5.161,0.0502,127.963,4,0
102,8/31/20,131274,44,0.738,0.089,0.738,0.736,0,0.209,-6.2,0.12,106.998,4,0
103,8/11/20,185076,46,0.7,0.374,0.7,0.469,0,0.105,-10.076,0.495,130.021,4,0
104,8/14/19,265653,45,0.925,0.235,0.925,0.462,0.0147,0.0795,-8.448,0.166,127.983,4,0
105,5/15/20,172444,47,0.935,0.139,0.935,0.579,1.43E-06,0.11,-7.392,0.112,135.011,4,0
106,11/24/20,194358,63,0.648,0.027,0.648,0.722,0,0.169,-9.992,0.489,176.553,4,0
107,5/6/21,168727,84,0.807,0.0224,0.807,0.659,0,0.309,-6.92,0.332,82.465,4,0
108,7/16/20,218901,80,0.695,0.0743,0.695,0.343,1.04E-06,0.107,-10.798,0.0432,85.84,4,0
109,11/20/20,179372,58,0.644,0.312,0.644,0.71,0,0.101,-4.078,0.04,143.061,4,0
110,10/30/20,180680,47,0.471,0.352,0.471,0.835,0,0.161,-4.972,0.387,176.049,4,0
111,4/10/20,164774,39,0.882,0.153,0.882,0.735,1.47E-05,0.103,-5.372,0.115,149.949,4,0
112,5/18/20,143475,0,0.84,0.0732,0.84,0.304,1.76E-05,0.115,-6.52,0.101,76.474,4,0
113,11/6/20,242602,47,0.685,0.353,0.685,0.896,0,0.146,-6.478,0.44,80.104,4,0
114,10/30/20,152920,69,0.729,0.111,0.729,0.503,0,0.123,-8.229,0.081,134.927,4,0
115,6/26/20,174000,47,0.609,0.739,0.609,0.399,0.000145,0.104,-14.415,0.773,70.894,3,0
116,10/9/20,222248,56,0.63,0.419,0.63,0.694,0,0.134,-6.593,0.313,91.749,4,0
117,12/6/19,160055,6,0.804,0.403,0.804,0.432,0,0.106,-9.91,0.511,144.059,4,0
118,4/15/20,218800,42,0.835,0.131,0.835,0.68,0,0.0782,-4.329,0.244,132.952,4,0
119,9/10/20,295556,0,0.67,0.229,0.67,0.631,0,0.194,-8.162,0.364,77.933,4,0
120,3/12/21,183021,43,0.834,0.226,0.834,0.537,0,0.101,-7.652,0.285,139.038,4,0
121,4/30/21,236524,83,0.477,0.000866,0.477,0.727,0,0.108,-4.053,0.286,150.062,4,0
122,9/4/20,136461,64,0.72,0.0514,0.72,0.542,3.50E-06,0.136,-7.583,0.0482,74.977,4,0
123,4/16/21,158000,60,0.762,0.0288,0.762,0.516,0,0.0966,-8.016,0.0969,156.97,4,0
124,10/30/20,172800,54,0.916,0.15,0.916,0.572,4.88E-06,0.104,-5.566,0.105,99.998,4,0
125,11/11/20,188074,52,0.873,0.0369,0.873,0.497,0.0324,0.119,-7.145,0.0899,145.013,4,0
126,11/20/20,168000,41,0.666,0.39,0.666,0.7,0,0.143,-6.368,0.135,160.038,4,0
127,5/28/21,169500,69,0.843,0.00507,0.843,0.538,0,0.133,-5.928,0.47,160.088,4,0
128,2/26/21,200424,81,0.853,0.0765,0.853,0.426,0,0.104,-6.812,0.374,160.051,4,0
129,5/28/21,211029,55,0.949,0.00126,0.949,0.642,0,0.166,-4.163,0.232,142.003,4,0
130,5/26/21,208194,48,0.669,0.0412,0.669,0.585,0,0.606,-6.138,0.287,83.099,4,0
131,4/16/21,170120,63,0.812,0.346,0.812,0.639,0,0.582,-4.639,0.442,138.961,4,0
132,3/26/21,213080,79,0.831,0.447,0.831,0.727,0,0.111,-3.657,0.169,125.068,4,0
133,5/21/21,199093,72,0.506,0.0229,0.506,0.473,0,0.15,-9.79,0.331,100.535,5,0
134,5/17/21,219192,58,0.834,0.00308,0.834,0.888,0,0.288,-3.944,0.222,114.92,4,0
135,5/28/21,178285,43,0.771,0.0947,0.771,0.531,0,0.185,-9.002,0.498,139.98,4,0
136,5/28/21,134284,44,0.714,0.169,0.714,0.722,0,0.498,-5.713,0.345,143.136,4,0
137,5/16/21,232615,58,0.81,0.0298,0.81,0.75,0,0.103,-8.225,0.363,130.096,4,0
138,4/2/21,148484,64,0.933,0.00879,0.933,0.526,3.86E-05,0.276,-6.398,0.244,131.99,4,0
139,4/2/21,155720,82,0.871,0.0143,0.871,0.545,0,0.148,-10.489,0.189,100.482,4,0
140,4/30/21,199157,43,0.797,0.201,0.797,0.378,0,0.135,-11.692,0.508,87.912,4,0
141,4/30/21,210778,59,0.731,0.544,0.731,0.41,0,0.11,-10.666,0.083,114.104,4,0
142,4/30/21,172388,58,0.842,0.072,0.842,0.827,0,0.126,-5.483,0.33,149.971,4,0
143,2/7/21,115748,54,0.859,0.798,0.859,0.61,0,0.131,-5.875,0.26,100.095,4,0
144,5/21/21,123960,55,0.764,0.0713,0.764,0.855,0,0.0406,-5.711,0.161,91.991,4,0
145,5/21/21,123541,55,0.92,0.00418,0.92,0.424,1.62E-06,0.164,-5.24,0.226,134.975,4,0
146,5/21/21,212093,45,0.64,0.129,0.64,0.83,0,0.331,-7.849,0.279,171.933,4,0
147,4/16/21,93707,64,0.841,0.053,0.841,0.56,0,0.114,-5.679,0.276,160.878,4,0
148,5/14/21,121836,64,0.858,0.225,0.858,0.625,0,0.18,-4.666,0.404,130.05,4,0
149,4/28/21,202987,57,0.726,0.0317,0.726,0.611,0,0.286,-5.541,0.338,154.067,4,0
150,5/28/21,174199,46,0.773,0.00855,0.773,0.658,0,0.182,-6.731,0.122,127.151,4,0
151,5/14/21,227918,70,0.721,0.169,0.721,0.521,1.08E-06,0.115,-9.687,0.349,157.965,4,0
152,1/1/06,251040,58,0.434,0.152,0.434,0.764,0,0.425,-5.367,0.276,92.605,4,0
153,5/22/20,197000,69,0.837,0.281,0.837,0.586,0,0.134,-8.521,0.0807,117.066,4,0
154,4/9/21,165925,95,0.789,0.41,0.789,0.536,0,0.129,-6.862,0.242,81.039,4,0
155,10/11/19,148629,74,0.876,0.0208,0.876,0.733,0,0.0999,-4.478,0.333,154.904,4,0
156,9/28/18,324189,67,0.856,0.371,0.856,0.694,0,0.109,-4.393,0.169,122.08,4,0
157,3/19/21,245621,71,0.928,0.221,0.928,0.322,4.37E-06,0.115,-10.334,0.0838,109.999,4,0
158,3/12/21,193760,59,0.634,0.344,0.634,0.424,1.11E-05,0.442,-8.609,0.0493,81.449,3,0
159,4/9/21,213214,73,0.637,0.742,0.637,0.299,0,0.359,-11.314,0.0366,83.872,4,0